Pa?s de nacionalidad;Mes;Total
PA?SES DE AM?RICA;Marzo;205
PA?SES DE AM?RICA;Abril;182
PA?SES DE AM?RICA;Mayo;204
PA?SES DE AM?RICA;Junio;190
PA?SES DE AM?RICA;Julio;194
PA?SES DE AM?RICA;Agosto;277
PA?SES DE AM?RICA;Septiembre;222
PA?SES DE AM?RICA;Octubre;205
PA?SES DE AM?RICA;Noviembre;193
PA?SES DE AM?RICA;Diciembre;235
PA?SES DE AM?RICA;Total;2.647
Argentina;Enero;34
Argentina;Febrero;30
Argentina;Marzo;28
Argentina;Abril;25
Argentina;Mayo;26
Argentina;Junio;20
Argentina;Julio;28
Argentina;Agosto;33
Argentina;Septiembre;21
Argentina;Octubre;24
Argentina;Noviembre;28
Argentina;Diciembre;43
Argentina;Total;340
Bolivia;Enero;7
Bolivia;Febrero;8
Bolivia;Marzo;3
Bolivia;Abril;2
Bolivia;Mayo;5
Bolivia;Junio;5
Bolivia;Julio;5
Bolivia;Agosto;8
Bolivia;Septiembre;20
Bolivia;Octubre;7
Bolivia;Noviembre;8
Bolivia;Diciembre;10
Bolivia;Total;88
Brasil;Enero;14
Brasil;Febrero;9
Brasil;Marzo;4
Brasil;Abril;5
Brasil;Mayo;9
Brasil;Junio;12
Brasil;Julio;4
Brasil;Agosto;10
Brasil;Septiembre;11
Brasil;Octubre;7
Brasil;Noviembre;7
Brasil;Diciembre;6
Brasil;Total;98
Chile;Enero;6
Chile;Febrero;10
Chile;Marzo;4
Chile;Abril;2
Chile;Mayo;2
Chile;Junio;12
Chile;Julio;7
Chile;Agosto;9
Chile;Septiembre;7
Chile;Octubre;4
Chile;Noviembre;5
Chile;Diciembre;5
Chile;Total;73
Colombia;Enero;33
Colombia;Febrero;38
Colombia;Marzo;26
Colombia;Abril;31
Colombia;Mayo;36
Colombia;Junio;24
Colombia;Julio;23
Colombia;Agosto;34
Colombia;Septiembre;33
Colombia;Octubre;30
Colombia;Noviembre;26
Colombia;Diciembre;35
Colombia;Total;369
Cuba;Enero;19
Cuba;Febrero;19
Cuba;Marzo;14
Cuba;Abril;6
Cuba;Mayo;17
Cuba;Junio;12
Cuba;Julio;17
Cuba;Agosto;14
Cuba;Septiembre;14
Cuba;Octubre;12
Cuba;Noviembre;12
Cuba;Diciembre;6
Cuba;Total;162
Ecuador;Enero;24
Ecuador;Febrero;16
Ecuador;Marzo;21
Ecuador;Abril;16
Ecuador;Mayo;16
Ecuador;Junio;12
Ecuador;Julio;9
Ecuador;Agosto;18
Ecuador;Septiembre;19
Ecuador;Octubre;16
Ecuador;Noviembre;13
Ecuador;Diciembre;17
Ecuador;Total;197
Estados Unidos de Am?rica;Enero;19
Estados Unidos de Am?rica;Febrero;13
Estados Unidos de Am?rica;Marzo;13
Estados Unidos de Am?rica;Abril;12
Estados Unidos de Am?rica;Mayo;10
Estados Unidos de Am?rica;Junio;11
Estados Unidos de Am?rica;Julio;16
Estados Unidos de Am?rica;Agosto;25
Estados Unidos de Am?rica;Septiembre;19
Estados Unidos de Am?rica;Octubre;25
Estados Unidos de Am?rica;Noviembre;20
Estados Unidos de Am?rica;Diciembre;20
Estados Unidos de Am?rica;Total;203
Per?;Enero;35
Per?;Febrero;32
Per?;Marzo;19
Per?;Abril;20
Per?;Mayo;15
Per?;Junio;15
Per?;Julio;12
Per?;Agosto;30
Per?;Septiembre;17
Per?;Octubre;16
Per?;Noviembre;15
Per?;Diciembre;19
Per?;Total;245
Rep?blica Dominicana;Enero;9
Rep?blica Dominicana;Febrero;5
Rep?blica Dominicana;Marzo;1
Rep?blica Dominicana;Abril;4
Rep?blica Dominicana;Mayo;6
Rep?blica Dominicana;Junio;3
Rep?blica Dominicana;Julio;7
Rep?blica Dominicana;Agosto;6
Rep?blica Dominicana;Septiembre;6
Rep?blica Dominicana;Octubre;3
Rep?blica Dominicana;Noviembre;6
Rep?blica Dominicana;Diciembre;5
Rep?blica Dominicana;Total;61
Uruguay;Enero;19
Uruguay;Febrero;10
Uruguay;Marzo;11
Uruguay;Abril;8
Uruguay;Mayo;10
Uruguay;Junio;9
Uruguay;Julio;10
Uruguay;Agosto;18
Uruguay;Septiembre;7
Uruguay;Octubre;10
Uruguay;Noviembre;6
Uruguay;Diciembre;11
Uruguay;Total;129
Venezuela;Enero;47
Venezuela;Febrero;32
Venezuela;Marzo;28
Venezuela;Abril;35
Venezuela;Mayo;28
Venezuela;Junio;31
Venezuela;Julio;32
Venezuela;Agosto;45
Venezuela;Septiembre;28
Venezuela;Octubre;29
Venezuela;Noviembre;24
Venezuela;Diciembre;37
Venezuela;Total;396
Resto de Am?rica;Enero;32
Resto de Am?rica;Febrero;20
Resto de Am?rica;Marzo;33
Resto de Am?rica;Abril;16
Resto de Am?rica;Mayo;24
Resto de Am?rica;Junio;24
Resto de Am?rica;Julio;24
Resto de Am?rica;Agosto;27
Resto de Am?rica;Septiembre;20
Resto de Am?rica;Octubre;22
Resto de Am?rica;Noviembre;23
Resto de Am?rica;Diciembre;21
Resto de Am?rica;Total;286
PA?SES DE ASIA;Enero;53
PA?SES DE ASIA;Febrero;48
PA?SES DE ASIA;Marzo;57
PA?SES DE ASIA;Abril;45
PA?SES DE ASIA;Mayo;52
PA?SES DE ASIA;Junio;31
PA?SES DE ASIA;Julio;42
PA?SES DE ASIA;Agosto;48
PA?SES DE ASIA;Septiembre;38
PA?SES DE ASIA;Octubre;50
PA?SES DE ASIA;Noviembre;49
PA?SES DE ASIA;Diciembre;44
PA?SES DE ASIA;Total;557
China;Enero;19
China;Febrero;12
China;Marzo;19
China;Abril;11
China;Mayo;25
China;Junio;8
China;Julio;18
China;Agosto;16
China;Septiembre;12
China;Octubre;16
China;Noviembre;10
China;Diciembre;18
China;Total;184
Filipinas;Enero;9
Filipinas;Febrero;12
Filipinas;Marzo;9
Filipinas;Abril;10
Filipinas;Mayo;6
Filipinas;Junio;5
Filipinas;Julio;6
Filipinas;Agosto;8
Filipinas;Septiembre;3
Filipinas;Octubre;5
Filipinas;Noviembre;5
Filipinas;Diciembre;4
Filipinas;Total;82
India;Enero;5
India;Febrero;6
India;Marzo;10
India;Abril;8
India;Mayo;8
India;Junio;2
India;Julio;4
India;Agosto;3
India;Septiembre;7
India;Octubre;6
India;Noviembre;6
India;Diciembre;9
India;Total;74
Resto de Asia;Enero;20
Resto de Asia;Febrero;18
Resto de Asia;Marzo;19
Resto de Asia;Abril;16
Resto de Asia;Mayo;13
Resto de Asia;Junio;16
Resto de Asia;Julio;14
Resto de Asia;Agosto;21
Resto de Asia;Septiembre;16
Resto de Asia;Octubre;23
